id,observed_on_string,observed_on,quality_grade,license,latitude,longitude,positional_accuracy,scientific_name,common_name
621484,4/12/2014 16:09,4/12/2014,research,CC-BY-NC,35.511898,-93.32338,27,Danaus plexippus,Monarch
768989,6/29/2014,6/29/2014,research,CC-BY-NC,35.513389,-93.326598,3,Danaus plexippus,Monarch
837014,8/17/2014,8/17/2014,research,CC-BY-NC,35.50759,-93.315497,13,Danaus plexippus,Monarch
866569,9/7/2014,9/7/2014,research,CC-BY-NC,35.512094,-93.32647,27,Danaus plexippus,Monarch
875141,9/13/2014,9/13/2014,research,CC-BY-NC,35.513659,-93.318597,3,Danaus plexippus,Monarch
1037595,10/25/2014,10/25/2014,research,CC-BY-NC,35.513604,-93.317261,6,Danaus plexippus,Monarch
1928642,9/7/2015,9/7/2015,research,CC-BY-NC,35.508247,-93.320848,27,Danaus plexippus,Monarch
1942210,9/12/2015 17:06,9/12/2015,research,CC-BY-NC,35.509889,-93.323635,13,Danaus plexippus,Monarch
1965231,9/19/2015 17:22,9/19/2015,research,CC-BY-NC,35.508889,-93.316635,13,Danaus plexippus,Monarch
1965232,9/19/2015 17:27,9/19/2015,research,CC-BY-NC,35.509564,-93.316623,6,Danaus plexippus,Monarch
2004018,9/26/2015 16:20,9/26/2015,research,CC-BY-NC,35.511343,-93.316539,6,Danaus plexippus,Monarch
2005091,9/26/2015 16:04,9/26/2015,research,CC-BY-NC,35.509531,-93.316621,27,Danaus plexippus,Monarch
2074300,10/3/2015 15:09,10/3/2015,research,CC-BY-NC,35.504933,-93.313173,6,Danaus plexippus,Monarch
2091530,10/9/2015 16:20,10/9/2015,research,CC-BY-NC,35.513079,-93.322583,3,Danaus plexippus,Monarch
3444414,6/12/2016 11:04,6/12/2016,research,CC-BY-NC,35.509435,-93.323535,,Danaus plexippus,Monarch
3984151,8/28/2016 18:10,8/28/2016,research,CC-BY-NC,35.509435,-93.321572,,Danaus plexippus,Monarch
4026995,9/3/2016 10:54,9/3/2016,research,CC-BY-NC,35.509688,-93.322463,,Danaus plexippus,Monarch
4026996,9/3/2016 10:42,9/3/2016,research,CC-BY-NC,35.508063,-93.320875,,Danaus plexippus,Monarch
4026997,9/3/2016 7:50,9/3/2016,research,CC-BY-NC,35.508063,-93.320875,,Danaus plexippus,Monarch
5629493,4/9/2017 11:34,4/9/2017,research,CC-BY-NC,35.506884,-93.316433,,Danaus plexippus,Monarch
7355013,8/2/2017 19:12,8/2/2017,research,CC-BY-NC,35.513618,-93.3264,,Danaus plexippus,Monarch
7400741,2017/08/06 2:18 AM CDT,8/6/2017,research,CC-BY-NC,35.5154007,-93.3256099,2934,Danaus plexippus,Monarch
7535241,8/12/2017 18:51,8/12/2017,research,CC-BY-NC,35.512858,-93.323342,,Danaus plexippus,Monarch
7535242,8/12/2017 17:49,8/12/2017,research,CC-BY-NC,35.508753,-93.321368,,Danaus plexippus,Monarch
7544148,8/14/2017,8/14/2017,casual,CC-BY-NC,35.080691,-92.193661,,Danaus plexippus,Monarch
7604645,8/21/2017,8/21/2017,research,CC-BY-NC,34.7532206,-92.3236454,,Danaus plexippus,Monarch
7631385,8/23/2017,8/23/2017,casual,CC-BY-NC,35.030646,-92.232398,435,Danaus plexippus,Monarch
7644540,8/21/2017,8/21/2017,research,CC-BY-NC,35.256466,-91.77397,,Danaus plexippus,Monarch
7646154,2017/08/24 11:57 AM CDT,8/24/2017,research,CC-BY-NC,35.3349543,-94.2971119,193,Danaus plexippus,Monarch
7656535,2016/10/30 2:19 PM CDT,10/30/2016,research,CC-BY-NC,34.897102,-92.659634,193,Danaus plexippus,Monarch
7667398,8/26/2017,8/26/2017,research,CC-BY-NC,36.078056,-94.116509,,Danaus plexippus,Monarch
7667401,8/26/2017,8/26/2017,casual,CC-BY-NC,36.078056,-94.116509,,Danaus plexippus,Monarch
7674530,2017/08/18 12:35 PM CDT,8/18/2017,research,CC-BY-NC,35.6486962,-94.3946578,1762,Danaus plexippus,Monarch
7680350,Sun Aug 27 2017 15:26:39 GMT-0500 (CDT),8/27/2017,research,CC-BY-NC,36.04176303,-94.1246958,40211,Danaus plexippus,Monarch
7680419,Sun Aug 27 2017 15:26:14 GMT-0500 (CDT),8/27/2017,research,CC-BY-NC,36.07872104,-94.1813053,501,Danaus plexippus,Monarch
7687162,8/27/2017,8/27/2017,casual,CC-BY-NC,35.252225,-91.793251,,Danaus plexippus,Monarch
7689959,8/23/2017,8/23/2017,casual,CC-BY-NC,36.253133,-94.251709,,Danaus plexippus,Monarch
7689961,8/23/2017,8/23/2017,casual,CC-BY-NC,36.253133,-94.251709,,Danaus plexippus,Monarch
