"geom","oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","csquare","geom_wkt"
0103000020E6100000010000000500000000000000004066C0000000000080494000000000006066C0000000000080494000000000006066C00000000000004A4000000000004066C00000000000004A4000000000004066C00000000000804940,6785394,-179,52,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,200,1,"7517:218","POLYGON((-178 51,-179 51,-179 52,-178 52,-178 51))"
0103000020E6100000010000000500000000000000002066C0000000000080494000000000004066C0000000000080494000000000004066C00000000000004A4000000000002066C00000000000004A4000000000002066C00000000000804940,6785377,-178,52,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,13,1,"7517:217","POLYGON((-177 51,-178 51,-178 52,-177 52,-177 51))"
0103000020E6100000010000000500000000000000000066C0000000000080494000000000002066C0000000000080494000000000002066C00000000000004A4000000000000066C00000000000004A4000000000000066C00000000000804940,6785361,-177,52,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,6,1,"7517:216","POLYGON((-176 51,-177 51,-177 52,-176 52,-176 51))"
0103000020E6100000010000000500000000000000004065C00000000000804F4000000000006065C00000000000804F4000000000006065C0000000000000504000000000004065C0000000000000504000000000004065C00000000000804F40,6785762,-170,63,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,194,1,"7617:130","POLYGON((-170 63,-171 63,-171 64,-170 64,-170 63))"
0103000020E610000001000000050000000000000000C064C00000000000804D400000000000E064C00000000000804D400000000000E064C00000000000004E400000000000C064C00000000000004E400000000000C064C00000000000804D40,6785281,-166,60,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,152,1,"7516:496","POLYGON((-166 59,-167 59,-167 60,-166 60,-166 59))"
0103000020E610000001000000050000000000000000C064C00000000000004E400000000000E064C00000000000004E400000000000E064C00000000000804E400000000000C064C00000000000804E400000000000C064C00000000000004E40,6785598,-167,60,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",3,55,1,"7616:206","POLYGON((-166 60,-167 60,-167 61,-166 61,-166 60))"
0103000020E610000001000000050000000000000000A064C00000000000804E400000000000C064C00000000000804E400000000000C064C00000000000004F400000000000A064C00000000000004F400000000000A064C00000000000804E40,6785609,-166,62,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,30,1,"7616:215","POLYGON((-165 61,-166 61,-166 62,-165 62,-165 61))"
0103000020E6100000010000000500000000000000008064C000000000000050400000000000A064C000000000000050400000000000A064C0000000000040504000000000008064C0000000000040504000000000008064C00000000000005040,6785594,-165,65,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,29,1,"7616:144","POLYGON((-164 64,-165 64,-165 65,-164 65,-164 64))"
0103000020E6100000010000000500000000000000006064C0000000000080504000000000008064C0000000000080504000000000008064C00000000000C0504000000000006064C00000000000C0504000000000006064C00000000000805040,6785671,-164,66,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,20,1,"7616:363","POLYGON((-163 66,-164 66,-164 67,-163 67,-163 66))"
0103000020E6100000010000000500000000000000006064C00000000000C0504000000000008064C00000000000C0504000000000008064C0000000000000514000000000006064C0000000000000514000000000006064C00000000000C05040,6785680,-164,67,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",3,170,1,"7616:373","POLYGON((-163 67,-164 67,-164 68,-163 68,-163 67))"
0103000020E6100000010000000500000000000000006064C0000000000040514000000000008064C0000000000040514000000000008064C0000000000080514000000000006064C0000000000080514000000000006064C00000000000405140,6785687,-163,70,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",5,28,1,"7616:393","POLYGON((-163 69,-164 69,-164 70,-163 70,-163 69))"
0103000020E6100000010000000500000000000000004064C00000000000C0504000000000006064C00000000000C0504000000000006064C0000000000000514000000000004064C0000000000000514000000000004064C00000000000C05040,6785676,-163,67,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,30,1,"7616:372","POLYGON((-162 67,-163 67,-163 68,-162 68,-162 67))"
0103000020E6100000010000000500000000000000004064C0000000000040514000000000006064C0000000000040514000000000006064C0000000000080514000000000004064C0000000000080514000000000004064C00000000000405140,6785684,-163,70,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,6,1,"7616:392","POLYGON((-162 69,-163 69,-163 70,-162 70,-162 69))"
0103000020E6100000010000000500000000000000004064C0000000000080514000000000006064C0000000000080514000000000006064C00000000000C0514000000000004064C00000000000C0514000000000004064C00000000000805140,6785924,-162,70,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,38,1,"7716:102","POLYGON((-162 70,-163 70,-163 71,-162 71,-162 70))"
0103000020E6100000010000000500000000000000002064C00000000000804B4000000000004064C00000000000804B4000000000004064C00000000000004C4000000000002064C00000000000004C4000000000002064C00000000000804B40,6785195,-161,56,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,126,1,"7516:351","POLYGON((-161 55,-162 55,-162 56,-161 56,-161 55))"
0103000020E6100000010000000500000000000000002064C00000000000004C4000000000004064C00000000000004C4000000000004064C00000000000804C4000000000002064C00000000000804C4000000000002064C00000000000004C40,6785223,-161,56,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,1100,1,"7516:361","POLYGON((-161 56,-162 56,-162 57,-161 57,-161 56))"
0103000020E6100000010000000500000000000000002064C00000000000804D4000000000004064C00000000000804D4000000000004064C00000000000004E4000000000002064C00000000000004E4000000000002064C00000000000804D40,6785254,-162,59,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,50,1,"7516:391","POLYGON((-161 59,-162 59,-162 60,-161 60,-161 59))"
0103000020E6100000010000000500000000000000002064C00000000000804F4000000000004064C00000000000804F4000000000004064C0000000000000504000000000002064C0000000000000504000000000002064C00000000000804F40,6785557,-161,64,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,12,1,"7616:131","POLYGON((-161 63,-162 63,-162 64,-161 64,-161 63))"
0103000020E6100000010000000500000000000000002064C0000000000080504000000000004064C0000000000080504000000000004064C00000000000C0504000000000002064C00000000000C0504000000000002064C00000000000805040,6785654,-161,66,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,20,1,"7616:361","POLYGON((-161 66,-162 66,-162 67,-161 67,-161 66))"
0103000020E6100000010000000500000000000000002064C0000000000080514000000000004064C0000000000080514000000000004064C00000000000C0514000000000002064C00000000000C0514000000000002064C00000000000805140,6785921,-161,70,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",2,48,1,"7716:101","POLYGON((-161 70,-162 70,-162 71,-161 71,-161 70))"
0103000020E6100000010000000500000000000000000064C00000000000804B4000000000002064C00000000000804B4000000000002064C00000000000004C4000000000000064C00000000000004C4000000000000064C00000000000804B40,6785181,-161,56,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,600,1,"7516:350","POLYGON((-160 55,-161 55,-161 56,-160 56,-160 55))"
0103000020E6100000010000000500000000000000000064C00000000000004C4000000000002064C00000000000004C4000000000002064C00000000000804C4000000000000064C00000000000804C4000000000000064C00000000000004C40,6785216,-161,56,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,80,1,"7516:360","POLYGON((-160 56,-161 56,-161 57,-160 57,-160 56))"
0103000020E610000001000000050000000000000000E063C00000000000804B4000000000000064C00000000000804B4000000000000064C00000000000004C400000000000E063C00000000000004C400000000000E063C00000000000804B40,6784896,-159,56,"U.S. Fish and Wildlife Service, Division of Migratory Bird Management","Sterna paradisaea","270","2004-07-01","2004-07-01",1,80,1,"7515:459","POLYGON((-159 55,-160 55,-160 56,-159 56,-159 55))"
