id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
621484,4/12/2014 16:09,4/12/2014,2014-04-12 21:09:00 UTC,Central Time (US & Canada),,14334,mayfly1963,2014-04-13 03:03:02 UTC,2017-08-23 02:53:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/621484,https://static.inaturalist.org/photos/781730/medium.png?1444530234,,,,FALSE,2,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.511898,-93.32338,27,,FALSE,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
768989,6/29/2014,6/29/2014,,Central Time (US & Canada),,14334,mayfly1963,2014-07-04 19:53:22 UTC,2017-08-23 02:53:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/768989,https://static.inaturalist.org/photos/966118/medium.png?1444628857,,,,FALSE,3,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.513389,-93.326598,3,,FALSE,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
837014,8/17/2014,8/17/2014,,Central Time (US & Canada),,14334,mayfly1963,2014-08-18 23:16:43 UTC,2017-08-23 02:52:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/837014,https://static.inaturalist.org/photos/1059489/medium.jpg?1444305593,,,,FALSE,6,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.50759,-93.315497,13,,FALSE,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
866569,9/7/2014,9/7/2014,,Central Time (US & Canada),,14334,mayfly1963,2014-09-07 23:04:59 UTC,2017-08-23 02:52:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/866569,https://static.inaturalist.org/photos/1099320/medium.jpg?1444343748,,,,FALSE,2,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.512094,-93.32647,27,,FALSE,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
875141,9/13/2014,9/13/2014,,Central Time (US & Canada),,14334,mayfly1963,2014-09-14 03:15:41 UTC,2017-08-23 02:51:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/875141,https://static.inaturalist.org/photos/1110530/medium.jpg?1444357360,,,,FALSE,4,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.513659,-93.318597,3,,FALSE,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
1037595,10/25/2014,10/25/2014,,Central Time (US & Canada),,14334,mayfly1963,2014-10-25 23:59:54 UTC,2017-08-23 02:51:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1037595,https://static.inaturalist.org/photos/1300963/medium.jpg?1444640604,,,,FALSE,3,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.513604,-93.317261,6,,FALSE,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
1928642,9/7/2015,9/7/2015,,Central Time (US & Canada),,14334,mayfly1963,2015-09-09 00:45:07 UTC,2017-08-23 02:51:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1928642,https://static.inaturalist.org/photos/2359127/medium.JPG?1441759509,,,,FALSE,3,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.508247,-93.320848,27,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
1942210,9/12/2015 17:06,9/12/2015,2015-09-12 22:06:32 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-09-13 15:33:07 UTC,2017-08-23 02:49:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1942210,https://static.inaturalist.org/photos/2378272/medium.jpg?1444569526,,,Fueling up on nectar of late boneset for the trip to Mexico.,FALSE,4,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.509889,-93.323635,13,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
1965231,9/19/2015 17:22,9/19/2015,2015-09-19 22:22:35 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-09-20 15:01:53 UTC,2017-08-23 02:48:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1965231,https://static.inaturalist.org/photos/2407785/medium.jpg?1444668411,,,,FALSE,4,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.508889,-93.316635,13,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
1965232,9/19/2015 17:27,9/19/2015,2015-09-19 22:27:09 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-09-20 15:02:42 UTC,2017-08-23 02:48:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1965232,https://static.inaturalist.org/photos/2407786/medium.jpg?1444668418,,,,FALSE,3,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.509564,-93.316623,6,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
2004018,9/26/2015 16:20,9/26/2015,2015-09-26 21:20:32 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-09-27 04:05:38 UTC,2017-08-23 02:47:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2004018,https://static.inaturalist.org/photos/2438677/medium.jpg?1444685483,,,,FALSE,3,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.511343,-93.316539,6,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
2005091,9/26/2015 16:04,9/26/2015,2015-09-26 21:04:30 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-09-27 15:04:33 UTC,2017-08-23 02:47:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2005091,https://static.inaturalist.org/photos/2439852/medium.jpg?1444686258,,,,FALSE,3,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.509531,-93.316621,27,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
2074300,10/3/2015 15:09,10/3/2015,2015-10-03 20:09:03 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-10-04 23:34:35 UTC,2017-08-23 02:46:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2074300,https://static.inaturalist.org/photos/2478469/medium.jpg?1444705866,,,Another one who is already missing a big chunk of a forewing.  I wonder if the ones who are &quot;injured&quot; like this actually make it to Mexico and back?,FALSE,5,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.504933,-93.313173,6,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
2091530,10/9/2015 16:20,10/9/2015,2015-10-09 21:20:02 UTC,Central Time (US & Canada),,14334,mayfly1963,2015-10-10 02:36:56 UTC,2017-08-23 02:45:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2091530,https://static.inaturalist.org/photos/2502869/medium.jpg?1444444673,,,,FALSE,4,0,FALSE,,"Hagarville, Johnson County, Arkansas, USA",35.513079,-93.322583,3,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
3444414,6/12/2016 11:04,6/12/2016,2016-06-12 16:04:02 UTC,Central Time (US & Canada),,14334,mayfly1963,2016-06-12 19:50:19 UTC,2017-08-23 02:44:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3444414,https://static.inaturalist.org/photos/3993859/medium.jpg?1465761040,,,,FALSE,2,0,FALSE,,"Hagarville, Arkansas, United States",35.509435,-93.323535,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
3984151,8/28/2016 18:10,8/28/2016,2016-08-28 23:10:24 UTC,Central Time (US & Canada),,14334,mayfly1963,2016-08-29 01:35:30 UTC,2017-08-23 02:44:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3984151,https://static.inaturalist.org/photos/4702259/medium.jpg?1472434543,,,,FALSE,1,0,FALSE,,"Hagarville, Arkansas, United States",35.509435,-93.321572,,,FALSE,,,Mariposa Monarca,Danaus plexippus,Monarch,Insecta,48662
4026995,9/3/2016 10:54,9/3/2016,2016-09-03 15:54:30 UTC,Central Time (US & Canada),,14334,mayfly1963,2016-09-03 21:00:17 UTC,2017-08-23 02:43:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4026995,https://static.inaturalist.org/photos/4760156/medium.jpg?1472936447,,,Nectering on Late Boneset (Eupatorium serotinum).,FALSE,2,0,FALSE,,"Hagarville, Arkansas, United States",35.509688,-93.322463,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
4026996,9/3/2016 10:42,9/3/2016,2016-09-03 15:42:29 UTC,Central Time (US & Canada),,14334,mayfly1963,2016-09-03 21:00:19 UTC,2017-08-23 02:43:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4026996,https://static.inaturalist.org/photos/4760157/medium.jpg?1472936448,,,Nectering on Perilla mint (Perilla frutescens).,FALSE,1,0,FALSE,,"Hagarville, Arkansas, United States",35.508063,-93.320875,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
4026997,9/3/2016 7:50,9/3/2016,2016-09-03 12:50:57 UTC,Central Time (US & Canada),,14334,mayfly1963,2016-09-03 21:00:20 UTC,2017-08-23 02:42:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4026997,https://static.inaturalist.org/photos/4760158/medium.jpg?1472936449,,,,FALSE,2,0,FALSE,,"Hagarville, Arkansas, United States",35.508063,-93.320875,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
5629493,4/9/2017 11:34,4/9/2017,2017-04-09 16:34:56 UTC,Central Time (US & Canada),,14334,mayfly1963,2017-04-09 22:31:10 UTC,2017-08-23 02:14:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5629493,https://static.inaturalist.org/photos/6962130/medium.jpg?1491777085,,Monarch (Danaus plexippus),,FALSE,1,0,FALSE,,"Hagarville, Arkansas, United States",35.506884,-93.316433,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7355013,8/2/2017 19:12,8/2/2017,2017-08-03 00:12:28 UTC,Central Time (US & Canada),,14334,mayfly1963,2017-08-05 02:14:50 UTC,2017-08-23 02:11:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7355013,https://static.inaturalist.org/photos/9535014/medium.jpg?1501899278,,Monarch (Danaus plexippus),Stopping for the night in an old catalpa tree.,FALSE,2,0,FALSE,,"Hagarville, Arkansas, United States",35.513618,-93.3264,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
7400741,2017/08/06 2:18 AM CDT,8/6/2017,2017-08-06 07:18:00 UTC,Central Time (US & Canada),,556608,alittle21,2017-08-08 01:13:25 UTC,2017-10-23 02:54:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7400741,https://static.inaturalist.org/photos/9609585/medium.jpeg?1502154783,,,,FALSE,3,0,FALSE,,"Hagarville, AR, USA",35.5154007,-93.3256099,2934,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
