"dataset_id","row_id","latitude","longitude","sp_code","scientific","common","tsn","count","series_id","obs_date","date_time","last_mod","provider","owner","oceano","depth","ds_type"
705,"705_3443",13.46,-60.41,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-05-13","2008-05-13 15:58:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.1600,""CHL_M"":0.1600,""CHL_Y"":0.1400,""SSH_D"":52.00,""SST_D"":26.625,""SST_M"":27.075,""SST_Y"":27.825,""BATH"":-2008,""EEZ"":122,""WDPA"":NULL,""LME"":12,""MEOW"":20064",,"pttag"
705,"705_3187",-19.51,-36.14,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-10-13","2007-10-13 02:11:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0800,""CHL_Y"":0.0600,""SSH_D"":64.15,""SST_D"":23.925,""SST_M"":24.000,""SST_Y"":26.325,""BATH"":-3967,""EEZ"":171,""WDPA"":NULL,""LME"":NULL,""MEOW"":20076",,"pttag"
705,"705_3177",-9.54,-18.05,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-10-08","2007-10-08 01:00:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.0600,""SSH_D"":39.42,""SST_D"":24.450,""SST_M"":24.150,""SST_Y"":26.700,""BATH"":-4025,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3158",44.61,-32.36,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-09-12","2007-09-12 02:06:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.1200,""CHL_M"":0.1300,""CHL_Y"":0.2500,""SSH_D"":30.38,""SST_D"":21.450,""SST_M"":21.450,""SST_Y"":18.000,""BATH"":-3489,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3154",46.15,-32.94,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-09-10","2007-09-10 02:09:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.1900,""CHL_M"":0.2000,""CHL_Y"":0.3200,""SSH_D"":14.36,""SST_D"":21.525,""SST_M"":21.375,""SST_Y"":17.925,""BATH"":-3939,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3144",42.6,-37.01,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2007-09-05","2007-09-05 02:27:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.1400,""CHL_M"":0.1100,""CHL_Y"":0.2700,""SSH_D"":16.60,""SST_D"":-9999,""SST_M"":22.800,""SST_Y"":18.900,""BATH"":-3869,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3464",49.91,-36.04,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-05-24","2008-05-24 02:21:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":0.7600,""CHL_M"":0.7600,""CHL_Y"":0.5700,""SSH_D"":-8.65,""SST_D"":-9999,""SST_M"":-9999,""SST_Y"":15.450,""BATH"":-3992,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_3423",-5.81,-25.04,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_410","2008-05-03","2008-05-03 13:37:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":0.0300,""CHL_Y"":0.0800,""SSH_D"":51.20,""SST_D"":-9999,""SST_M"":27.825,""SST_Y"":27.150,""BATH"":-5340,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2903",-60.91,-22.14,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2007-12-28","2007-12-28 13:30:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.1000,""SSH_D"":-136.89,""SST_M"":-9999,""SST_Y"":-0.825,""BATH"":-5933,""EEZ"":89,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
705,"705_2884",-60.45,-11.57,"Arctic tern","Sterna paradisaea","Arctic Tern",176890,1,"ARTE_408","2007-12-19","2007-12-19 00:43:00","2011-02-24 13:46:04","Greenland Institute of Natural Resources","cegevang","""CHL_D"":-9999,""CHL_M"":-9999,""CHL_Y"":0.1400,""SSH_D"":-144.71,""SST_D"":-9999,""SST_M"":-2.925,""SST_Y"":-1.125,""BATH"":-4388,""EEZ"":NULL,""WDPA"":NULL,""LME"":NULL,""MEOW"":NULL",,"pttag"
