"dataset_id","row_id","series_id","last_mod_","lon_s","lat_s","lon_e","lat_e","date_s","date_e","datetime_s","datetime_e","length_km","speed_kph","eff_status","ds_type"
706,"706_23793118","ARTE_370","2011-02-24 13:46:25",-23.64,68.13,-19.66,68.14,"2007-08-16","2007-08-16","2007-08-16 01:39:00","2007-08-16 13:23:00",165.45,14.10,,"lntag"
706,"706_23793119","ARTE_370","2011-02-24 13:46:25",-19.66,68.14,-21.19,67.15,"2007-08-16","2007-08-17","2007-08-16 13:23:00","2007-08-17 01:29:00",128.10,10.58,,"lntag"
706,"706_23793120","ARTE_370","2011-02-24 13:46:25",-21.19,67.15,-23.22,67.42,"2007-08-17","2007-08-17","2007-08-17 01:29:00","2007-08-17 13:37:00",92.54,7.62,,"lntag"
706,"706_23793121","ARTE_370","2011-02-24 13:46:25",-23.22,67.42,-34.5,65.29,"2007-08-17","2007-08-18","2007-08-17 13:37:00","2007-08-18 02:22:00",557.04,43.68,,"lntag"
706,"706_23793122","ARTE_370","2011-02-24 13:46:25",-34.5,65.29,-31.02,63.89,"2007-08-18","2007-08-18","2007-08-18 02:22:00","2007-08-18 14:08:00",228.29,19.40,,"lntag"
706,"706_23793123","ARTE_370","2011-02-24 13:46:25",-31.02,63.89,-36.3,60.69,"2007-08-18","2007-08-19","2007-08-18 14:08:00","2007-08-19 02:29:00",449.45,36.39,,"lntag"
706,"706_23793124","ARTE_370","2011-02-24 13:46:25",-36.3,60.69,-32.58,59.03,"2007-08-19","2007-08-19","2007-08-19 02:29:00","2007-08-19 14:14:00",278.59,23.71,,"lntag"
706,"706_23793125","ARTE_370","2011-02-24 13:46:25",-32.58,59.03,-33.61,56.64,"2007-08-19","2007-08-20","2007-08-19 14:14:00","2007-08-20 02:18:00",273.11,22.63,,"lntag"
706,"706_23793126","ARTE_370","2011-02-24 13:46:25",-33.61,56.64,-33.64,56.69,"2007-08-20","2007-08-20","2007-08-20 02:18:00","2007-08-20 14:18:00",5.86,0.48,,"lntag"
706,"706_23793127","ARTE_370","2011-02-24 13:46:25",-33.64,56.69,-35.67,55.8,"2007-08-20","2007-08-21","2007-08-20 14:18:00","2007-08-21 02:26:00",160.17,13.20,,"lntag"
706,"706_23793128","ARTE_370","2011-02-24 13:46:25",-35.67,55.8,-34.2,54.83,"2007-08-21","2007-08-21","2007-08-21 02:26:00","2007-08-21 14:20:00",142.72,11.99,,"lntag"
706,"706_23793129","ARTE_370","2011-02-24 13:46:25",-34.2,54.83,-33.48,54.6,"2007-08-21","2007-08-22","2007-08-21 14:20:00","2007-08-22 02:17:00",52.99,4.43,,"lntag"
706,"706_23793130","ARTE_370","2011-02-24 13:46:25",-33.48,54.6,-32.51,54.9,"2007-08-22","2007-08-22","2007-08-22 02:17:00","2007-08-22 14:13:00",70.82,5.93,,"lntag"
706,"706_23793131","ARTE_370","2011-02-24 13:46:25",-32.51,54.9,-34.54,52.93,"2007-08-22","2007-08-23","2007-08-22 14:13:00","2007-08-23 02:21:00",256.62,21.15,,"lntag"
706,"706_23793132","ARTE_370","2011-02-24 13:46:25",-34.54,52.93,-32.57,51.33,"2007-08-23","2007-08-23","2007-08-23 02:21:00","2007-08-23 14:13:00",223.35,18.82,,"lntag"
706,"706_23793133","ARTE_370","2011-02-24 13:46:25",-32.57,51.33,-35.11,47.59,"2007-08-23","2007-08-24","2007-08-23 14:13:00","2007-08-24 02:23:00",454.82,37.38,,"lntag"
706,"706_23793134","ARTE_370","2011-02-24 13:46:25",-35.11,47.59,-37.14,47.53,"2007-08-24","2007-08-24","2007-08-24 02:23:00","2007-08-24 14:31:00",152.91,12.60,,"lntag"
706,"706_23793135","ARTE_370","2011-02-24 13:46:25",-37.14,47.53,-36.93,50.23,"2007-08-24","2007-08-25","2007-08-24 14:31:00","2007-08-25 02:30:00",300.65,25.08,,"lntag"
706,"706_23793136","ARTE_370","2011-02-24 13:46:25",-36.93,50.23,-36.46,50.21,"2007-08-25","2007-08-25","2007-08-25 02:30:00","2007-08-25 14:28:00",33.61,2.80,,"lntag"
706,"706_23793137","ARTE_370","2011-02-24 13:46:25",-36.46,50.21,-35.49,51.3,"2007-08-25","2007-08-26","2007-08-25 14:28:00","2007-08-26 02:24:00",139.23,11.66,,"lntag"
706,"706_23793138","ARTE_370","2011-02-24 13:46:25",-35.49,51.3,-33.78,50.92,"2007-08-26","2007-08-26","2007-08-26 02:24:00","2007-08-26 14:17:00",126.99,10.68,,"lntag"
706,"706_23793139","ARTE_370","2011-02-24 13:46:25",-33.78,50.92,-33.06,50.52,"2007-08-26","2007-08-27","2007-08-26 14:17:00","2007-08-27 02:14:00",67.56,5.65,,"lntag"
706,"706_23793140","ARTE_370","2011-02-24 13:46:25",-33.06,50.52,-30.1,49.28,"2007-08-27","2007-08-27","2007-08-27 02:14:00","2007-08-27 14:02:00",253.43,21.47,,"lntag"
706,"706_23793141","ARTE_370","2011-02-24 13:46:25",-30.1,49.28,-30.14,46.53,"2007-08-27","2007-08-28","2007-08-27 14:02:00","2007-08-28 02:02:00",305.78,25.48,,"lntag"
706,"706_23793142","ARTE_370","2011-02-24 13:46:25",-30.14,46.53,-29.92,46.93,"2007-08-28","2007-08-28","2007-08-28 02:02:00","2007-08-28 14:01:00",47.53,3.96,,"lntag"
706,"706_23793143","ARTE_370","2011-02-24 13:46:25",-29.92,46.93,-28.46,48.71,"2007-08-28","2007-08-29","2007-08-28 14:01:00","2007-08-29 01:55:00",226.09,18.99,,"lntag"
706,"706_23793144","ARTE_370","2011-02-24 13:46:25",-28.46,48.71,-28.5,49.99,"2007-08-29","2007-08-29","2007-08-29 01:55:00","2007-08-29 13:55:00",142.38,11.86,,"lntag"
706,"706_23793145","ARTE_370","2011-02-24 13:46:25",-28.5,49.99,-29.53,49.52,"2007-08-29","2007-08-30","2007-08-29 13:55:00","2007-08-30 01:59:00",90.78,7.52,,"lntag"
706,"706_23793146","ARTE_370","2011-02-24 13:46:25",-29.53,49.52,-29.57,49.03,"2007-08-30","2007-08-30","2007-08-30 01:59:00","2007-08-30 13:59:00",54.57,4.54,,"lntag"
706,"706_23793147","ARTE_370","2011-02-24 13:46:25",-29.57,49.03,-29.61,49.45,"2007-08-30","2007-08-31","2007-08-30 13:59:00","2007-08-31 01:59:00",46.80,3.90,,"lntag"
706,"706_23793148","ARTE_370","2011-02-24 13:46:25",-29.61,49.45,-28.9,49.41,"2007-08-31","2007-08-31","2007-08-31 01:59:00","2007-08-31 13:56:00",51.69,4.32,,"lntag"
706,"706_23793149","ARTE_370","2011-02-24 13:46:25",-28.9,49.41,-28.94,48.89,"2007-08-31","2007-09-01","2007-08-31 13:56:00","2007-09-01 01:56:00",57.90,4.82,,"lntag"
706,"706_23793150","ARTE_370","2011-02-24 13:46:25",-28.94,48.89,-29.85,50.05,"2007-09-01","2007-09-01","2007-09-01 01:56:00","2007-09-01 13:59:00",144.89,12.02,,"lntag"
706,"706_23793151","ARTE_370","2011-02-24 13:46:25",-29.85,50.05,-32.27,48.8,"2007-09-01","2007-09-02","2007-09-01 13:59:00","2007-09-02 02:09:00",223.92,18.40,,"lntag"
706,"706_23793152","ARTE_370","2011-02-24 13:46:25",-32.27,48.8,-33.06,47.69,"2007-09-02","2007-09-02","2007-09-02 02:09:00","2007-09-02 14:12:00",136.66,11.34,,"lntag"
706,"706_23793153","ARTE_370","2011-02-24 13:46:25",-33.06,47.69,-33.35,48.69,"2007-09-02","2007-09-03","2007-09-02 14:12:00","2007-09-03 02:13:00",113.26,9.42,,"lntag"
706,"706_23793154","ARTE_370","2011-02-24 13:46:25",-33.35,48.69,-35.64,51.18,"2007-09-03","2007-09-03","2007-09-03 02:13:00","2007-09-03 14:22:00",322.03,26.50,,"lntag"
706,"706_23793155","ARTE_370","2011-02-24 13:46:25",-35.64,51.18,-39.68,49.67,"2007-09-03","2007-09-04","2007-09-03 14:22:00","2007-09-04 02:38:00",332.54,27.10,,"lntag"
706,"706_23793156","ARTE_370","2011-02-24 13:46:25",-39.68,49.67,-43.22,49.64,"2007-09-04","2007-09-04","2007-09-04 02:38:00","2007-09-04 14:52:00",255.61,20.89,,"lntag"
