geom,oid,longitude,latitude,providers,species,datasets,date_min,date_max,num_records,num_animals,num_species,csquare,geom_wkt
0103000020E6100000010000000500000000000000006066C000000000000031C000000000006066C000000000000032C000000000008066C000000000000032C000000000008066C000000000000031C000000000006066C000000000000031C0,5823119,-180,-17,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,8/1/1913,1,1,1,5117:479,"POLYGON((-179 -17,-179 -18,-180 -18,-180 -17,-179 -17))"
0103000020E6100000010000000500000000000000006066C00000000000004E4000000000008066C00000000000004E4000000000008066C00000000000804E4000000000006066C00000000000804E4000000000006066C00000000000004E40,180494,-180,61,National Marine Mammal Laboratory,Megaptera novaeangliae,821,7/18/2008,7/18/2008,2,2,1,7617:209,"POLYGON((-179 60,-180 60,-180 61,-179 61,-179 60))"
0103000020E6100000010000000500000000000000006066C00000000000004F4000000000008066C00000000000004F4000000000008066C00000000000804F4000000000006066C00000000000804F4000000000006066C00000000000004F40,180338,-180,62,National Marine Mammal Laboratory,Megaptera novaeangliae,821,7/31/2010,7/31/2010,1,3,1,7617:229,"POLYGON((-179 62,-180 62,-180 63,-179 63,-179 62))"
0103000020E6100000010000000500000000000000004066C00000000000804D4000000000006066C00000000000804D4000000000006066C00000000000004E4000000000004066C00000000000004E4000000000004066C00000000000804D40,180589,-178,60,National Marine Mammal Laboratory,Megaptera novaeangliae,821,7/29/2010,7/30/2010,5,6,1,7517:498,"POLYGON((-178 59,-179 59,-179 60,-178 60,-178 59))"
0103000020E6100000010000000500000000000000002066C000000000000037C000000000002066C000000000000038C000000000004066C000000000000038C000000000004066C000000000000037C000000000002066C000000000000037C0,5823772,-177,-23,Wildlife Conservation Society,Megaptera novaeangliae,885,10/1/1913,10/1/1913,3,3,1,5217:237,"POLYGON((-177 -23,-177 -24,-178 -24,-178 -23,-177 -23))"
0103000020E6100000010000000500000000000000002066C000000000000036C000000000002066C000000000000037C000000000004066C000000000000037C000000000004066C000000000000036C000000000002066C000000000000036C0,5823757,-177,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,7/1/1913,10/1/1913,5,5,1,5217:227,"POLYGON((-177 -22,-177 -23,-178 -23,-178 -22,-177 -22))"
0103000020E6100000010000000500000000000000002066C000000000000035C000000000002066C000000000000036C000000000004066C000000000000036C000000000004066C000000000000035C000000000002066C000000000000035C0,5823739,-177,-21,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,4,4,1,5217:217,"POLYGON((-177 -21,-177 -22,-178 -22,-178 -21,-177 -21))"
0103000020E6100000010000000500000000000000002066C000000000000034C000000000002066C000000000000035C000000000004066C000000000000035C000000000004066C000000000000034C000000000002066C000000000000034C0,5823731,-177,-20,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,5,5,1,5217:207,"POLYGON((-177 -20,-177 -21,-178 -21,-178 -20,-177 -20))"
0103000020E6100000010000000500000000000000002066C000000000000033C000000000002066C000000000000034C000000000004066C000000000000034C000000000004066C000000000000033C000000000002066C000000000000033C0,5823134,-177,-20,Wildlife Conservation Society,Megaptera novaeangliae,885,9/1/1913,9/1/1913,1,1,1,5117:497,"POLYGON((-177 -19,-177 -20,-178 -20,-178 -19,-177 -19))"
0103000020E6100000010000000500000000000000000066C000000000000038C000000000000066C000000000000039C000000000002066C000000000000039C000000000002066C000000000000038C000000000000066C000000000000038C0,5823783,-176,-24,Wildlife Conservation Society,Megaptera novaeangliae,885,10/1/1913,10/1/1913,2,2,1,5217:246,"POLYGON((-176 -24,-176 -25,-177 -25,-177 -24,-176 -24))"
0103000020E6100000010000000500000000000000000066C000000000000037C000000000000066C000000000000038C000000000002066C000000000000038C000000000002066C000000000000037C000000000000066C000000000000037C0,5823771,-176,-23,Wildlife Conservation Society,Megaptera novaeangliae,885,7/1/1913,10/1/1913,8,8,1,5217:236,"POLYGON((-176 -23,-176 -24,-177 -24,-177 -23,-176 -23))"
0103000020E6100000010000000500000000000000000066C000000000000036C000000000000066C000000000000037C000000000002066C000000000000037C000000000002066C000000000000036C000000000000066C000000000000036C0,5823752,-176,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,7/1/1913,9/1/1913,5,5,1,5217:226,"POLYGON((-176 -22,-176 -23,-177 -23,-177 -22,-176 -22))"
0103000020E6100000010000000500000000000000000066C000000000000035C000000000000066C000000000000036C000000000002066C000000000000036C000000000002066C000000000000035C000000000000066C000000000000035C0,5823737,-176,-21,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,8,8,1,5217:216,"POLYGON((-176 -21,-176 -22,-177 -22,-177 -21,-176 -21))"
0103000020E6100000010000000500000000000000000066C000000000000034C000000000000066C000000000000035C000000000002066C000000000000035C000000000002066C000000000000034C000000000000066C000000000000034C0,5823728,-176,-20,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,10/1/1913,8,8,1,5217:206,"POLYGON((-176 -20,-176 -21,-177 -21,-177 -20,-176 -20))"
0103000020E6100000010000000500000000000000000066C000000000000033C000000000000066C000000000000034C000000000002066C000000000000034C000000000002066C000000000000033C000000000000066C000000000000033C0,5823133,-176,-19,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,6,6,1,5117:496,"POLYGON((-176 -19,-176 -20,-177 -20,-177 -19,-176 -19))"
0103000020E6100000010000000500000000000000000066C000000000000032C000000000000066C000000000000033C000000000002066C000000000000033C000000000002066C000000000000032C000000000000066C000000000000032C0,5823124,-176,-18,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,4,4,1,5117:486,"POLYGON((-176 -18,-176 -19,-177 -19,-177 -18,-176 -18))"
0103000020E6100000010000000500000000000000000066C000000000000031C000000000000066C000000000000032C000000000002066C000000000000032C000000000002066C000000000000031C000000000000066C000000000000031C0,5823116,-176,-18,Wildlife Conservation Society,Megaptera novaeangliae,885,9/1/1913,9/1/1913,1,1,1,5117:476,"POLYGON((-176 -17,-176 -18,-177 -18,-177 -17,-176 -17))"
0103000020E6100000010000000500000000000000000066C00000000000002AC000000000000066C00000000000002CC000000000002066C00000000000002CC000000000002066C00000000000002AC000000000000066C00000000000002AC0,14307143,-176,-13,Observatoire PELAGIS UMS 3462 University La Rochelle - CNRS,Megaptera novaeangliae,1404,11/27/2014,11/27/2014,1,,1,5117:236,"POLYGON((-176 -13,-176 -14,-177 -14,-177 -13,-176 -13))"
0103000020E610000001000000050000000000000000E065C000000000000038C00000000000E065C000000000000039C000000000000066C000000000000039C000000000000066C000000000000038C00000000000E065C000000000000038C0,5823779,-175,-24,Wildlife Conservation Society,Megaptera novaeangliae,885,9/1/1913,10/1/1913,2,2,1,5217:245,"POLYGON((-175 -24,-175 -25,-176 -25,-176 -24,-175 -24))"
0103000020E610000001000000050000000000000000E065C000000000000037C00000000000E065C000000000000038C000000000000066C000000000000038C000000000000066C000000000000037C00000000000E065C000000000000037C0,5823765,-175,-23,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,7,7,1,5217:235,"POLYGON((-175 -23,-175 -24,-176 -24,-176 -23,-175 -23))"
0103000020E610000001000000050000000000000000E065C000000000000036C00000000000E065C000000000000037C000000000000066C000000000000037C000000000000066C000000000000036C00000000000E065C000000000000036C0,5823746,-175,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,7/1/1913,9/1/1913,6,6,1,5217:225,"POLYGON((-175 -22,-175 -23,-176 -23,-176 -22,-175 -22))"
0103000020E610000001000000050000000000000000E065C000000000000035C00000000000E065C000000000000036C000000000000066C000000000000036C000000000000066C000000000000035C00000000000E065C000000000000035C0,15498323,-175,-21,David Donnelly via Happywhale.com;Leanne Maffesoni via Happywhale.com;Mette Lubczyk via Happywhale.com;Renee DeBont via Happywhale.com;Scott Portelli via Happywhale.com;Wildlife Conservation Society,Megaptera novaeangliae,885;1768,8/1/1913,8/22/2016,30,28,1,5217:215,"POLYGON((-175 -21,-175 -22,-176 -22,-176 -21,-175 -21))"
0103000020E610000001000000050000000000000000E065C000000000000034C00000000000E065C000000000000035C000000000000066C000000000000035C000000000000066C000000000000034C00000000000E065C000000000000034C0,15498311,-175,-20,David Donnelly via Happywhale.com;Leanne Maffesoni via Happywhale.com;Wildlife Conservation Society,Megaptera novaeangliae,885;1768,8/1/1913,9/19/2016,9,8,1,5217:205,"POLYGON((-175 -20,-175 -21,-176 -21,-176 -20,-175 -20))"
0103000020E610000001000000050000000000000000E065C000000000000033C00000000000E065C000000000000034C000000000000066C000000000000034C000000000000066C000000000000033C00000000000E065C000000000000033C0,15498298,-175,-19,Julie Kondor via Happywhale.com;Scott Portelli via Happywhale.com;Wildlife Conservation Society,Megaptera novaeangliae,885;1768,8/1/1913,9/24/2014,25,24,1,5117:495,"POLYGON((-175 -19,-175 -20,-176 -20,-176 -19,-175 -19))"
0103000020E610000001000000050000000000000000E065C000000000000032C00000000000E065C000000000000033C000000000000066C000000000000033C000000000000066C000000000000032C00000000000E065C000000000000032C0,5823122,-175,-18,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,6,6,1,5117:485,"POLYGON((-175 -18,-175 -19,-176 -19,-176 -18,-175 -18))"
0103000020E610000001000000050000000000000000E065C000000000000031C00000000000E065C000000000000032C000000000000066C000000000000032C000000000000066C000000000000031C00000000000E065C000000000000031C0,5823115,-175,-17,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,11/1/1913,5,5,1,5117:475,"POLYGON((-175 -17,-175 -18,-176 -18,-176 -17,-175 -17))"
0103000020E610000001000000050000000000000000E065C000000000000030C00000000000E065C000000000000031C000000000000066C000000000000031C000000000000066C000000000000030C00000000000E065C000000000000030C0,5823109,-175,-16,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,5,5,1,5117:465,"POLYGON((-175 -16,-175 -17,-176 -17,-176 -16,-175 -16))"
0103000020E610000001000000050000000000000000E065C00000000000004D4000000000000066C00000000000004D4000000000000066C00000000000804D400000000000E065C00000000000804D400000000000E065C00000000000004D40,182156,-176,59,National Marine Mammal Laboratory,Megaptera novaeangliae,821,7/17/2002,7/17/2002,1,2,1,7517:485,"POLYGON((-175 58,-176 58,-176 59,-175 59,-175 58))"
0103000020E610000001000000050000000000000000C065C000000000000038C00000000000C065C000000000000039C00000000000E065C000000000000039C00000000000E065C000000000000038C00000000000C065C000000000000038C0,5823723,-174,-24,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,10/1/1913,5,5,1,5217:144,"POLYGON((-174 -24,-174 -25,-175 -25,-175 -24,-174 -24))"
0103000020E610000001000000050000000000000000C065C000000000000037C00000000000C065C000000000000038C00000000000E065C000000000000038C00000000000E065C000000000000037C00000000000C065C000000000000037C0,5823691,-174,-23,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,11/1/1913,10,10,1,5217:134,"POLYGON((-174 -23,-174 -24,-175 -24,-175 -23,-174 -23))"
0103000020E610000001000000050000000000000000C065C000000000000036C00000000000C065C000000000000037C00000000000E065C000000000000037C00000000000E065C000000000000036C00000000000C065C000000000000036C0,5823663,-174,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,11/1/1913,6,6,1,5217:124,"POLYGON((-174 -22,-174 -23,-175 -23,-175 -22,-174 -22))"
0103000020E610000001000000050000000000000000C065C000000000000035C00000000000C065C000000000000036C00000000000E065C000000000000036C00000000000E065C000000000000035C00000000000C065C000000000000035C0,15498306,-174,-21,Leanne Maffesoni via Happywhale.com;Wildlife Conservation Society,Megaptera novaeangliae,885;1768,8/1/1913,8/12/2016,6,6,1,5217:114,"POLYGON((-174 -21,-174 -22,-175 -22,-175 -21,-174 -21))"
0103000020E610000001000000050000000000000000C065C000000000000034C00000000000C065C000000000000035C00000000000E065C000000000000035C00000000000E065C000000000000034C00000000000C065C000000000000034C0,15498305,-174,-20,Mette Lubczyk via Happywhale.com;Mike Greenfelder via Happywhale.com;Wildlife Conservation Society,Megaptera novaeangliae,885;1768,7/1/1913,7/6/2017,9,5,1,5217:104,"POLYGON((-174 -20,-174 -21,-175 -21,-175 -20,-174 -20))"
0103000020E610000001000000050000000000000000C065C000000000000033C00000000000C065C000000000000034C00000000000E065C000000000000034C00000000000E065C000000000000033C00000000000C065C000000000000033C0,15498285,-174,-19,Cassie Chronik via Happywhale.com;Darren Rice via Happywhale.com;Glenn Edney via Happywhale.com;Mette Lubczyk via Happywhale.com;Mike Greenfelder via Happywhale.com;Scott Portelli via Happywhale.com;Wildlife Conservation Society,Megaptera novaeangliae,885;1768,7/1/1913,10/6/2017,38,12,1,5117:394,"POLYGON((-174 -19,-174 -20,-175 -20,-175 -19,-174 -19))"
0103000020E610000001000000050000000000000000C065C000000000000032C00000000000C065C000000000000033C00000000000E065C000000000000033C00000000000E065C000000000000032C00000000000C065C000000000000032C0,15498263,-174,-18,"Julie Kondor via Happywhale.com;Karen Stone via Happywhale.com;Leanne Maffesoni via Happywhale.com;Marine Mammal Ecology Group, University of Auckland via Happywhale.com;Mette Lubczyk via Happywhale.com;Mike Greenfelder via Happywhale.com;Rae Gill via Happywhale.com;Rita Kluge via Happywhale.com;Scott Portelli via Happywhale.com;Wildlife Conservation Society",Megaptera novaeangliae,885;1768,7/1/1913,8/19/2017,187,149,1,5117:384,"POLYGON((-174 -18,-174 -19,-175 -19,-175 -18,-174 -18))"
0103000020E610000001000000050000000000000000C065C000000000000031C00000000000C065C000000000000032C00000000000E065C000000000000032C00000000000E065C000000000000031C00000000000C065C000000000000031C0,5823080,-174,-17,Wildlife Conservation Society,Megaptera novaeangliae,885,9/1/1913,11/1/1913,4,4,1,5117:374,"POLYGON((-174 -17,-174 -18,-175 -18,-175 -17,-174 -17))"
0103000020E610000001000000050000000000000000C065C000000000000030C00000000000C065C000000000000031C00000000000E065C000000000000031C00000000000E065C000000000000030C00000000000C065C000000000000030C0,5823070,-174,-16,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,4,4,1,5117:364,"POLYGON((-174 -16,-174 -17,-175 -17,-175 -16,-174 -16))"
0103000020E610000001000000050000000000000000A065C000000000000038C00000000000A065C000000000000039C00000000000C065C000000000000039C00000000000C065C000000000000038C00000000000A065C000000000000038C0,5823715,-173,-24,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,10/1/1913,8,8,1,5217:143,"POLYGON((-173 -24,-173 -25,-174 -25,-174 -24,-173 -24))"
0103000020E610000001000000050000000000000000A065C000000000000037C00000000000A065C000000000000038C00000000000C065C000000000000038C00000000000C065C000000000000037C00000000000A065C000000000000037C0,5823684,-173,-24,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,10/1/1913,3,3,1,5217:133,"POLYGON((-173 -23,-173 -24,-174 -24,-174 -23,-173 -23))"
0103000020E610000001000000050000000000000000A065C000000000000036C00000000000A065C000000000000037C00000000000C065C000000000000037C00000000000C065C000000000000036C00000000000A065C000000000000036C0,5823656,-173,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,7,7,1,5217:123,"POLYGON((-173 -22,-173 -23,-174 -23,-174 -22,-173 -22))"
0103000020E610000001000000050000000000000000A065C000000000000035C00000000000A065C000000000000036C00000000000C065C000000000000036C00000000000C065C000000000000035C00000000000A065C000000000000035C0,5823632,-173,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,9/1/1913,9/1/1913,3,3,1,5217:113,"POLYGON((-173 -21,-173 -22,-174 -22,-174 -21,-173 -21))"
0103000020E610000001000000050000000000000000A065C000000000000034C00000000000A065C000000000000035C00000000000C065C000000000000035C00000000000C065C000000000000034C00000000000A065C000000000000034C0,5823619,-173,-20,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,5,5,1,5217:103,"POLYGON((-173 -20,-173 -21,-174 -21,-174 -20,-173 -20))"
0103000020E610000001000000050000000000000000A065C000000000000033C00000000000A065C000000000000034C00000000000C065C000000000000034C00000000000C065C000000000000033C00000000000A065C000000000000033C0,5823102,-173,-19,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,7,7,1,5117:393,"POLYGON((-173 -19,-173 -20,-174 -20,-174 -19,-173 -19))"
0103000020E610000001000000050000000000000000A065C000000000000032C00000000000A065C000000000000033C00000000000C065C000000000000033C00000000000C065C000000000000032C00000000000A065C000000000000032C0,15498141,-173,-18,"Leanne Maffesoni via Happywhale.com;Marine Mammal Ecology Group, University of Auckland via Happywhale.com;Scott Portelli via Happywhale.com;Tory Johnson via Happywhale.com;Wildlife Conservation Society",Megaptera novaeangliae,885;1768,7/1/1913,9/13/2014,233,221,1,5117:383,"POLYGON((-173 -18,-173 -19,-174 -19,-174 -18,-173 -18))"
0103000020E610000001000000050000000000000000A065C000000000000031C00000000000A065C000000000000032C00000000000C065C000000000000032C00000000000C065C000000000000031C00000000000A065C000000000000031C0,5823078,-173,-17,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,6,6,1,5117:373,"POLYGON((-173 -17,-173 -18,-174 -18,-174 -17,-173 -17))"
0103000020E610000001000000050000000000000000A065C000000000000030C00000000000A065C000000000000031C00000000000C065C000000000000031C00000000000C065C000000000000030C00000000000A065C000000000000030C0,5823067,-173,-16,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,8,8,1,5117:363,"POLYGON((-173 -16,-173 -17,-174 -17,-174 -16,-173 -16))"
0103000020E610000001000000050000000000000000A065C00000000000804D400000000000C065C00000000000804D400000000000C065C00000000000004E400000000000A065C00000000000004E400000000000A065C00000000000804D40,182183,-173,60,National Marine Mammal Laboratory,Megaptera novaeangliae,821,6/26/2008,6/26/2008,1,4,1,7517:393,"POLYGON((-173 59,-174 59,-174 60,-173 60,-173 59))"
0103000020E610000001000000050000000000000000A065C00000000000004F400000000000C065C00000000000004F400000000000C065C00000000000804F400000000000A065C00000000000804F400000000000A065C00000000000004F40,600229,-174,63,National Marine Mammal Laboratory,Megaptera novaeangliae,123,7/14/1999,7/14/1999,10,26,1,7617:123,"POLYGON((-173 62,-174 62,-174 63,-173 63,-173 62))"
0103000020E610000001000000050000000000000000A065C00000000000804F400000000000C065C00000000000804F400000000000C065C000000000000050400000000000A065C000000000000050400000000000A065C00000000000804F40,600259,-174,63,National Marine Mammal Laboratory,Megaptera novaeangliae,123,7/14/1999,7/14/1999,1,2,1,7617:133,"POLYGON((-173 63,-174 63,-174 64,-173 64,-173 63))"
0103000020E6100000010000000500000000000000008065C000000000000038C000000000008065C000000000000039C00000000000A065C000000000000039C00000000000A065C000000000000038C000000000008065C000000000000038C0,5823708,-172,-24,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,6,6,1,5217:142,"POLYGON((-172 -24,-172 -25,-173 -25,-173 -24,-172 -24))"
0103000020E6100000010000000500000000000000008065C000000000000037C000000000008065C000000000000038C00000000000A065C000000000000038C00000000000A065C000000000000037C000000000008065C000000000000037C0,5823677,-172,-23,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,10/1/1913,7,7,1,5217:132,"POLYGON((-172 -23,-172 -24,-173 -24,-173 -23,-172 -23))"
0103000020E6100000010000000500000000000000008065C000000000000036C000000000008065C000000000000037C00000000000A065C000000000000037C00000000000A065C000000000000036C000000000008065C000000000000036C0,5823651,-172,-22,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,7,7,1,5217:122,"POLYGON((-172 -22,-172 -23,-173 -23,-173 -22,-172 -22))"
0103000020E6100000010000000500000000000000008065C000000000000035C000000000008065C000000000000036C00000000000A065C000000000000036C00000000000A065C000000000000035C000000000008065C000000000000035C0,5823629,-172,-21,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,5,5,1,5217:112,"POLYGON((-172 -21,-172 -22,-173 -22,-173 -21,-172 -21))"
0103000020E6100000010000000500000000000000008065C000000000000034C000000000008065C000000000000035C00000000000A065C000000000000035C00000000000A065C000000000000034C000000000008065C000000000000034C0,5823615,-172,-20,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,8,8,1,5217:102,"POLYGON((-172 -20,-172 -21,-173 -21,-173 -20,-172 -20))"
0103000020E6100000010000000500000000000000008065C000000000000033C000000000008065C000000000000034C00000000000A065C000000000000034C00000000000A065C000000000000033C000000000008065C000000000000033C0,5823098,-172,-19,Wildlife Conservation Society,Megaptera novaeangliae,885,8/1/1913,9/1/1913,5,5,1,5117:392,"POLYGON((-172 -19,-172 -20,-173 -20,-173 -19,-172 -19))"
